,Gene,U,pval,adj_pvals
0,CACNA2D1,95.0,0.15041721400939723,0.577738844717912
1,CX3CL1,77.0,0.6898958698033392,1.0
2,CCL11,54.0,0.1207453704017659,0.4977065267780107
3,CCR5,87.0,0.27331027061333846,0.6908626044201315
4,CCL5,90.0,0.3218113791981505,0.7156068826906241
5,CXCR4,80.0,0.5434982638083425,0.952287791058892
6,CXCR1,81.0,0.30659583036396365,0.6908626044201315
7,CX3CR1,85.5,0.19244054341266714,0.6775510799320988
8,CCR2,79.0,0.6778202915704311,1.0
9,CXCR3,81.0,0.4911155176507782,0.948249752120666
10,CXCR2,82.0,0.44157288935936356,0.899106244599186
11,APP,103.0,0.08421751691148897,0.4066502959440468
12,CTRB1,72.0,1.0,1.0
13,IL10,79.0,0.6915047285223951,1.0
14,IFNG,63.5,0.6397814855405557,1.0
15,CD8A,113.0,0.013418838274946047,0.11652065080950413
16,TNF,83.0,0.5478716458818331,0.952287791058892
17,IL1B,44.0,0.11949875979004544,0.4977065267780107
18,IL6,69.0,0.8874476051803057,1.0
19,ANPEP,92.0,0.269606104568209,0.6908626044201315
20,GRB2,51.0,0.2406802725221977,0.6908626044201315
21,SRC,27.0,0.011758294400597138,0.11652065080950413
22,ERBB2,34.0,0.03185233574877276,0.2242935308976082
23,TLR4,53.5,0.3049017881787882,0.6908626044201315
24,EGFR,45.0,0.13354523580261685,0.5248638337358662
25,CD79B,67.0,0.7987551290996111,1.0
26,CD79A,93.0,0.24544766714848265,0.6908626044201315
27,CALM3,102.0,0.05195780989917009,0.2926956624319915
28,NFKB1,88.5,0.36493803629034294,0.7806902295325058
29,NTRK1,104.0,0.06536302350404413,0.34627979389798436
30,NTRK2,91.0,0.27913699753857313,0.6908626044201315
31,RHOA,117.0,0.011758294400597138,0.11652065080950413
32,HSD3B1,72.0,1.0,1.0
33,HSD3B2,72.0,1.0,1.0
34,APOE,81.0,0.5962483209055089,0.9879016297355981
35,APOA1,97.5,0.09955401422384128,0.4547196865899777
36,AHSG,72.0,1.0,1.0
37,UNC13D,53.0,0.2949352987570909,0.6908626044201315
38,RAB27A,62.0,0.5906933198847109,0.9879016297355981
39,JUN,107.0,0.05079852073883995,0.2926956624319915
40,ITGB1,19.0,0.0029564779954394976,0.07499166213215112
41,ACKR2,72.0,1.0,1.0
42,STAT1,79.0,0.7128806637550735,1.0
43,ELANE,76.5,0.6883876751718593,1.0
44,LTF,74.5,0.9007930434199632,1.0
45,SOS1,34.0,0.03185233574877276,0.2242935308976082
46,A2M,59.0,0.45950758785639667,0.9244855041396552
47,CCL22,80.0,0.5434982638083425,0.952287791058892
48,CCR8,78.0,0.6257890982857004,1.0
49,CXCL10,72.0,1.0,1.0
50,PF4V1,76.5,0.5049850750938458,0.948249752120666
51,CCR3,72.0,1.0,1.0
52,CCR4,77.0,0.6898958698033392,1.0
53,CCL17,76.0,0.7563096246483585,1.0
54,CCR7,74.0,0.9097732121285552,1.0
55,CCR1,74.0,0.9032900296016632,1.0
56,CCL28,81.0,0.30659583036396365,0.6908626044201315
57,CCL25,72.0,1.0,1.0
58,PF4,76.5,0.5049850750938458,0.948249752120666
59,CCL26,81.0,0.30659583036396365,0.6908626044201315
